session_id,label,speed_score,vibration_score,pause_ratio,smoothness_score,gyro_std,gyro_max,gyro_range,jerk_mean,jerk_max,energy,writer_id,text_id
20260101_170304,perfect,936.421578656414,372.89664719525473,0.0458333333333333,2.5112094281042943,947.6070420766704,7051.877835016713,6931.511726830065,126.59219224607668,1743.0187188019374,1774844.4791666667,p01,word01
20260101_170339,perfect,921.0582232884868,363.64419847419344,0.0383333333333333,2.5328555346689945,927.2140373070948,6681.907063107059,6575.57268484678,122.11426754580718,1593.9867616809634,1708074.1216666666,p01,word01
20260101_170559,perfect,1014.2364808294376,394.7648308931466,0.062607204116638,2.569216908115987,1035.8389478059646,7338.951219350079,7254.571126911162,120.01878078765316,1915.31477934119,2101637.9648370496,p01,word01
20260101_170736,perfect,947.6425697818528,348.2483015009992,0.0458715596330275,2.721169243256064,869.546750667819,6028.394977106262,5929.354581307376,124.83468042950504,1686.5610391264283,1654137.9916597165,p01,word01
20260101_170809,perfect,1014.3865497479904,491.2409222095081,0.1132389675270607,2.0649471609989773,1291.166533649099,12744.458442789948,12711.993076628452,148.4156601639691,2701.279770870656,2696091.0899250624,p01,word01
20260101_172252,perfect,871.8372752798615,368.1230528494915,0.0516666666666666,2.3683310951677465,930.1385996717124,6304.073445003635,6253.6551943398135,127.2592470685398,1408.4809025610257,1625258.0491666666,p01,word01
20260101_172325,perfect,908.0874222524732,350.3493865276852,0.0341666666666666,2.5919480797742644,877.0760990625947,6718.70240448258,6665.740153775118,124.6093668698668,1441.3928754892968,1593885.25,p01,word01
20260101_172407,perfect,842.958330725824,308.5589889496263,0.0262489415749364,2.7319195297581214,756.3529507486331,5183.869693578341,5089.519282874412,116.64729103576629,1313.7327238317264,1282648.533446232,p01,word01
20260101_172445,perfect,858.9546195960943,345.6060323093999,0.0458333333333333,2.4853577102548,856.8285105401949,5843.182437678975,5795.874932988915,126.51068449620206,2185.1843738014663,1471958.135,p01,word01
20260101_212802,medium,1155.6282279081763,622.5315405291718,0.0741666666666666,1.8563368292464648,1633.898182934035,16543.46846945948,16446.91796454107,189.0886937842305,8862.191134095883,4005099.8733333335,p01,word01
20260101_212845,medium,1470.9550331552505,856.2623975138097,0.1308333333333333,1.717878813443572,2242.97182578573,22881.149381095347,22836.80978254056,261.9583568258438,6796.479135911879,7194631.320833334,p01,word01
20260101_213228,medium,1535.323204715717,853.03823035897,0.1025,1.7998293022222498,2304.013005872173,21642.979000128424,21586.78291485552,231.1918979961688,8375.373320193745,7665693.274166667,p01,word01
20260101_224628,medium,1771.9677904003606,1023.915719757458,0.1884057971014492,1.7305797288565112,2831.2834447168243,29096.58703353368,28861.00477613724,249.32955191772945,9217.55002832036,11156035.794543903,p01,word01
20260101_224746,medium,1593.7875539223066,888.5018523282429,0.2073272273105745,1.7937920421348938,2443.6020739017304,16281.310665913848,16158.326927151358,222.03032879674825,6232.446191571768,8511349.862614488,p01,word01
20260101_224928,medium,1418.475009485705,778.0650299114739,0.1509922346850733,1.8230802736681468,2054.5727100938675,15420.80117892712,15278.625231594246,230.9903098333052,4350.668306853598,6233340.373597929,p01,word01
20260101_225120,medium,1258.413255165135,670.4556479635065,0.0474209650582362,1.87695227433848,1768.278880444208,15383.200609756086,15226.864433520386,199.95997690034883,6138.174189042907,4710414.119800333,p01,word01
20260101_225229,medium,1324.854305796078,669.8394573462077,0.0833333333333333,1.9778684120327303,1718.726226525599,17332.203899100656,17160.349309403435,220.31655626932584,6327.793892078198,4709258.773333333,p01,word01
20260101_225321,medium,1569.8484231745324,825.7544852786563,0.183180682764363,1.9011079555246604,2171.893482374538,21614.80844236192,21583.776201063552,248.8377722375641,4194.403063801252,7181545.370524563,p01,word01
20260101_225354,medium,1517.9759526286225,835.990735007666,0.1532056619483763,1.8157808301534848,2201.742798963268,20483.873876784142,20440.48032887665,250.66842188383663,5088.333630306171,7151922.3455453785,p01,word01
20260101_225423,medium,1698.9394008914976,967.271214619559,0.2608333333333333,1.7564250578916365,2614.195847119806,21139.49330045543,21077.05132739244,261.44637211945326,8763.776391928473,9720415.015,p01,word01
20260101_225604,medium,1791.1926836472055,1045.5048588586324,0.3083333333333333,1.7132322884557427,2767.957921925245,23475.223555911027,23305.80986106908,307.3106889729412,8832.982470612642,10869962.2875,p01,word01
20260101_225726,medium,1664.7981340300832,931.2769369419376,0.2284991568296795,1.7876509835078498,2446.806307306798,25229.15167024052,25150.812663353787,281.7643496427117,5914.633122892787,8758413.932546373,p01,word01
20260101_225759,medium,1968.8135860470704,1141.6229657643569,0.3583333333333333,1.724574262575653,2982.818134761679,24385.727239514512,24350.386045420368,352.5393219083616,5657.87773246615,12773430.961666666,p01,word01
20260101_225833,medium,1856.414824717434,1088.5356228776168,0.4003350083752093,1.7054240430868517,2965.5936836309493,18161.954327659787,18090.43509947603,284.0821682690458,6675.282816878833,12241021.897822443,p01,word01
20260101_230016,bad,1830.4463308767504,1110.5637431782125,0.4045037531276063,1.6482136576781838,3093.5832198337125,23900.85314376873,23714.7913260844,260.6982531829984,6690.827512048247,12920790.90825688,p01,word01
20260101_230135,bad,1752.7190477591205,1072.8333557403523,0.3310924369747899,1.6337290752074496,3004.479770423304,30166.975403576675,30011.151785341182,244.9848923048025,6087.532148275178,12098922.751260504,p01,word01
20260101_230206,bad,2315.686368603888,1490.5985282391473,0.6105263157894737,1.5535278770105143,4320.387811964443,28197.480844926555,28008.65023300148,277.8316923568776,6167.837152909189,24028154.20350877,p01,word01
20260101_230239,bad,1871.814526328108,1209.5421478560145,0.4690635451505017,1.5475397265804018,3332.295402812051,26271.184004532417,26057.17232260828,299.79075287485574,5377.557271239566,14607882.272575252,p01,word01
20260101_230314,bad,1808.144485949111,1151.4910863259738,0.38,1.5702635529277404,3191.892969633927,25562.83853565562,25492.40416904386,277.0331363368513,6358.997554276664,13457567.211666666,p01,word01
20260101_230346,bad,1779.2345787115985,1108.2559486083796,0.3319467554076539,1.605436523341309,3046.079595906705,19890.377799327995,19799.41626899786,277.7600997662401,6908.313998596859,12444276.590682195,p01,word01
20260101_230416,bad,3181.8067035457907,2355.6507232496733,0.6705981465880371,1.3507124255694851,6635.422151470831,41439.403446478325,41383.60022076511,521.4629682977487,19509.90368345933,54152721.02695872,p01,word01
20260101_230452,bad,2331.1639323777063,1545.320918077594,0.5646371976647206,1.5085306253209745,4350.2277904501725,29257.453494793423,29172.359429195407,343.2179727750606,8564.234246857484,24358807.108423688,p01,word01
20260101_231442,bad,1204.3990251023365,845.3246616525377,0.437135720233139,1.4247768677694344,2244.222365497973,16020.72111360784,15928.86796994906,245.7970742902084,5833.961829006953,6487111.037468776,p01,word01
20260101_231514,bad,1087.1439638919253,691.703530388266,0.4313072439633638,1.5716906370421453,1838.684935363285,13237.64117960598,13185.257976191146,200.140071113258,5460.207402360724,4562644.289758534,p01,word01
20260101_231544,bad,1216.3849385195454,809.5329573076526,0.3986655546288574,1.5025761780748572,2173.4286588370524,16337.85622411949,16240.378021427812,225.0062280807671,6355.581552986639,6203384.453711426,p01,word01
20260101_231620,bad,1584.8265282036684,1021.1828122825008,0.5953372189841799,1.551951822523712,2612.035291063916,18024.234047526126,17965.200158953543,339.38889280475155,7908.51478390003,9334403.486261448,p01,word01
20260101_231655,bad,2014.95571490195,1269.4822648070945,0.3978315262718932,1.587226359259858,2997.7120526139274,25224.774528229187,25161.73485817929,528.8123557470234,11250.170127936395,13046324.083402837,p01,word01
20260101_231730,bad,1434.6211024134936,1033.7666774743975,0.5372881355932203,1.3877610221782977,2657.110795384824,18172.437398433925,18119.892179812246,338.04776979850067,6333.86873929184,9118375.486440675,p01,word01
20260101_231801,bad,1543.6401962392663,1078.39111913033,0.6386344712739384,1.43142888273478,2756.732317034978,19547.2872030878,19531.19372614837,359.1020343140521,9072.594405188513,9982398.123230642,p01,word01
20260101_231832,bad,1416.8696851975733,1070.144060964104,0.6088407005838199,1.323999016167133,2771.0174028615,29789.44902142368,29773.38664301947,341.1983430080773,7940.450257557479,9686057.15179316,p01,word01
20260101_231902,bad,1348.2705865290077,831.9485664888763,0.5683333333333334,1.620617715105369,2166.2934749630285,12774.538817507268,12714.797709382292,260.0864628570968,4452.8768428052745,6510660.994166667,p01,word01
20260101_231949,bad,1293.6024972498344,841.4069971371434,0.5587989991659716,1.5374277847864848,2203.778188826564,14575.464074944575,14533.72680143516,257.5336292702489,5481.993608519347,6530045.726438699,p01,word01
20260101_232114,bad,1247.2888963009043,836.0251036358948,0.5197978096040438,1.4919275622041557,2203.5220338272347,16380.065537109427,16279.571756207326,249.95499069674904,6533.015522003381,6411238.944397641,p01,word01
20260101_232144,bad,1296.6116943586887,848.7927879208606,0.4816666666666667,1.527595087143915,2261.6137916066978,16774.851444945794,16688.775896733772,243.298072055502,5890.822618455991,6796098.828333333,p01,word01
20260104_142912,perfect,5024.139627187337,2673.103093703284,0.4550748752079867,1.8795158470103903,7139.496214046626,41308.89572477096,41027.76586154045,758.9346135561365,20533.007148601133,76214385.18386023,p01,word01
20260104_222952,medium,4832.603088769642,2843.3953030506227,0.630308076602831,1.699588897078521,7759.067515943651,43989.24327605557,43694.18057085547,736.6786403821824,17506.58589716983,83557181.33055787,p01,word01
20260112_214815,perfect,1618.80402892076,790.0871109604155,0.1858333333333333,2.048893095982895,2128.005372240222,18786.066192793,18649.00781107192,216.69357041192683,4297.218095221031,7148933.348333334,p01,word01
